Algorithm,最终RADI,平均RADI,RADI标准差,最终成功率(%),平均成功率(%),最终检测率(%),平均检测率(%),平均损害,累积防御奖励,收敛速度(Episodes)
QLearning,0.0641485497394303,0.0635036380761567,0.0055808850574503,56.52,55.189,94.9577932636561,94.8992043628599,0.0560040573655717,156866.083455051,1
SARSA,0.162890189574587,0.100441041804994,0.0395652487399965,40.76,42.093,94.9659600627152,94.8231285880496,0.0430582323780105,164738.474596922,6
DoubleQLearning,0.061691806309682,0.0601157858313486,0.0026209520896583,55.5,54.678,95.2409335833395,94.8797697716979,0.0553750511068127,157432.154789308,3
