Algorithm,最终RADI,平均RADI,RADI标准差,最终成功率(%),平均成功率(%),最终检测率(%),平均检测率(%),平均损害,累积防御奖励,收敛速度(Episodes)
QLearning,2.69028714310724,2.62332052380964,0.247998559993109,97.84,97.788,NaN,NaN,0.0779094815989512,13268.8733801561,108
SARSA,2.45399304873462,2.47416819856848,0.474895849493628,92.22,92.3060000000001,NaN,NaN,0.0899342603890061,11718.7415728305,62
DoubleQLearning,2.76072823150743,2.48307765054803,0.471045020594431,92.54,92.408,NaN,NaN,0.0901281781964268,11671.7253619033,106
