Algorithm,最终RADI,平均RADI,RADI标准差,最终成功率(%),平均成功率(%),最终检测率(%),平均检测率(%),平均损害,累积防御奖励,收敛速度(Episodes)
QLearning,0.178919909627314,0.14283264755532,0.0433179895505451,40.84,42.579,95.2969078163664,94.9773785912688,0.0438523981327819,162578.69953706,3
SARSA,0.176481333660241,0.13681658982116,0.0397430106000559,53.84,52.846,94.6523158259532,94.9843868103222,0.057149891071265,155028.496423444,24
DoubleQLearning,0.100389594235457,0.100284133179125,0.00192342021453568,54.38,55.01,94.5162671480469,94.9720268080475,0.056869952456227,155113.873459751,10
