Algorithm,最终RADI,平均RADI,RADI标准差,最终成功率(%),平均成功率(%),最终检测率(%),平均检测率(%),平均损害,累积防御奖励,收敛速度(Episodes)
QLearning,0.164983064182651,0.153474752107923,0.0255131247118584,50.02,51.309,95.3065272543563,95.0130281641561,0.0487606515711666,155628.365147326,6
SARSA,0.0375379731430642,0.10344275605247,0.0459784463195159,45.6,42.951,94.6327208852364,95.1209860465668,0.0424513721828467,163693.118944493,22
DoubleQLearning,0.0986015006349905,0.0997430134966364,0.00282257955831676,55.64,55.079,95.0177625815544,94.9716253770772,0.0554575399976788,155111.046054168,2
