Algorithm,最终RADI,平均RADI,RADI标准差,最终成功率(%),平均成功率(%),最终检测率(%),平均检测率(%),平均损害,累积防御奖励,收敛速度(Episodes)
QLearning,0.104829964084119,0.116439456185694,0.0439401127672538,32.24,44.881,NaN,NaN,0.0422952164504924,-4395.24550487861,12
SARSA,0.101915499558837,0.0901131415368474,0.0276904807940999,56.92,57.725,NaN,NaN,0.0595815855196015,-24746.3094293678,79
DoubleQLearning,0.0637115914997641,0.0601868019769728,0.00217056251049228,56.1,57.416,NaN,NaN,0.0592183134767741,-23974.5116678169,2
