Iteration,Agent_1,Agent_2,Agent_3
1,0.81131213710899,0.77489626273661,0.856682242101397
2,0.811341615370533,0.774736491964974,0.856618899111452
3,0.811306489491489,0.774809483019896,0.850715462270402
4,0.832079657611945,0.774569038824124,0.850581857060287
5,0.832297577384613,0.77436562902334,0.850498117932311
6,0.832274480739862,0.77419083546542,0.811226141276502
7,0.832032955087707,0.774179506855727,0.821007004227227
8,0.828851363398195,0.770980336449135,0.82050926981662
9,0.828586350953974,0.765618587445649,0.778198147124231
10,0.82871569822591,0.765629926231851,0.778254512925056
