Iteration,Agent_1,Agent_2,Agent_3
1,0.742832928323392,0.342183308514329,0.133451544851731
2,0.68708004766561,0.301260855341564,0.203472621366038
3,0.777916766880703,0.53097310178686,0.129298086849678
4,0.762911133826203,0.425442746042239,0.177280337636806
5,0.738488753233456,0.374803205873678,0.111450953881635
6,0.79269217303519,0.378544439376658,0.11992799034126
7,0.831356895586939,0.366990735792266,0.167888502928166
8,0.814533747990503,0.282436584425143,0.12586722840867
9,0.801871705278458,0.372887090316668,0.127631149046305
10,0.813176225655529,0.386285675441971,0.139721022727793
11,0.839113037705406,0.389993607826907,0.143862221096359
12,0.842121474844998,0.380968788623116,0.172258313221113
13,0.877190077822197,0.320997642774041,0.180552849261597
14,0.848747155813538,0.497037207320249,0.143068039857159
15,0.823853417179524,0.373760879688102,0.190837950036848
16,0.850980666626483,0.320130427821769,0.168203557812494
17,0.860632478111185,0.322803636980598,0.11883381720251
18,0.799037766969293,0.304399204770132,0.179138933998304
19,0.816592808609452,0.407230838992462,0.193939865757429
20,0.93869262721751,0.338108592684282,0.224600941379909
21,0.936321699702769,0.338229954948692,0.0935860176294959
22,0.933234690071384,0.393081839408124,0.142494968811413
23,0.896980752679718,0.284646890989731,0.15609143668389
24,0.932718705440157,0.286392850889393,0.139998181384762
25,0.865862129894031,0.285558047971462,0.149539801139091
26,0.909932714492349,0.403005966947117,0.202575202034453
27,0.896448790541574,0.337182182928101,0.221079777935153
28,0.9132974837094,0.352292696643962,0.14605013004804
29,0.922831300285027,0.395471316109917,0.177383971324021
30,0.957252451108749,0.319712284539631,0.24944352328698
31,0.920141500090407,0.317270479563939,0.177966724046357
32,0.91765153315002,0.391949162563601,0.162454537654909
33,0.91748230844769,0.409405620222616,0.171192106480013
34,0.954737451069421,0.251430479439779,0.127268644042764
35,0.907569642598982,0.409474269967066,0.187589783722917
36,0.943144260657638,0.356190851493081,0.195447393336824
37,0.953153050012961,0.35729807998567,0.155521543616981
38,0.922850037994639,0.390920009510773,0.159840702264247
39,0.970167191885203,0.245959376714001,0.125517514596625
40,0.970167191885203,0.249762785255621,0.197619979054227
41,0.931742482762336,0.357405257623157,0.155123109674022
42,0.959048554322656,0.425780764607345,0.137855025530755
43,0.942559262233256,0.358961998292328,0.219392755596467
44,0.95854594714982,0.298960142195091,0.0856174340513667
45,0.970167191885203,0.352629907212996,0.132666004439486
46,0.939622269570858,0.307056300612521,0.190764288436386
47,0.939463805768575,0.357642039664544,0.178985493496509
48,0.955667723177472,0.42436007752733,0.153074585379857
49,0.949363276385253,0.317257641986234,0.210307939020003
50,0.948688453963884,0.284746299614494,0.206728511041259
51,0.533139196662836,0.834988301249244,0.237815326444899
52,0.598279031627303,0.67692643500389,0.328500781391633
53,0.662099961404534,0.787618285469468,0.372410401359745
54,0.780512971472521,0.785114754527579,0.313116167442301
55,0.808734690954209,0.715019623517386,0.358062701209617
56,0.864303649802921,0.581104946406968,0.345544765834375
57,0.906866960679591,0.673122096759145,0.365338699072302
58,0.888818182739159,0.696648853607434,0.287191072572067
59,0.912598991683554,0.704737667391942,0.33553531063078
60,0.947225814876161,0.657807539415786,0.346333711438494
61,0.938724504366166,0.748742807035967,0.29089476648067
62,0.931529689502538,0.678460588118738,0.328309301374159
63,0.937287579597194,0.797829289825015,0.341378583427931
64,0.952219361215151,0.732823196899046,0.264518478225635
65,0.961669668208161,0.691681815360548,0.307448923537735
66,0.970167191885203,0.724629890707939,0.361825377636855
67,0.96039308311748,0.670409035342621,0.291713481594397
68,0.970167191885203,0.757710430707625,0.310993936701432
69,0.959418014572099,0.639465273323615,0.327751636043219
70,0.970167191885203,0.649615126821798,0.329864997159641
71,0.970167191885203,0.820261711675002,0.330004749098015
72,0.970167191885203,0.678533867798707,0.338568121938411
73,0.970167191885203,0.71605497123014,0.317278749635363
74,0.950763848047499,0.696035567129761,0.371489728587741
75,0.970167191885203,0.80324723197368,0.377242364191044
76,0.970167191885203,0.796944384455885,0.307584702424205
77,0.970167191885203,0.677379001711687,0.378952095707056
78,0.965100966616767,0.671600056279538,0.392217574589552
79,0.958406441626302,0.801293887381004,0.316058334896969
80,0.959262524261923,0.692037021815936,0.285597659934741
81,0.970167191885203,0.697680908097415,0.328237627162531
82,0.970167191885203,0.709842857621299,0.323507118413778
83,0.957759661254189,0.707424197149275,0.298670796360889
84,0.948810119140806,0.67400662922507,0.373923092640645
85,0.963579183966139,0.694911905020656,0.360270733592547
86,0.970167191885203,0.70627730298925,0.396986585599525
87,0.970167191885203,0.656797137736741,0.350316360141344
88,0.970167191885203,0.73018508441336,0.324716601492788
89,0.970167191885203,0.74643030722893,0.296900516372761
90,0.970167191885203,0.785964954802637,0.318358367049618
91,0.967736735734003,0.746672132791144,0.357702492003679
92,0.970167191885203,0.779519815292112,0.346175902922896
93,0.970167191885203,0.689499754336119,0.318443564120572
94,0.957909897983183,0.71103484665068,0.358409080179767
95,0.970167191885203,0.709107230338454,0.295036408070619
96,0.970167191885203,0.688414918097853,0.317024434265869
97,0.970167191885203,0.672213805444077,0.335935722126189
98,0.970167191885203,0.638965249895304,0.273459685177973
99,0.970167191885203,0.70233181026304,0.299938094690474
100,0.970167191885203,0.619195762831556,0.295217905945114
