Episode,RADI,Damage,SuccessRate,Epsilon
1,0.595687652014712,0.146351766737879,0.86,0.723833717690967
2,0.567093028994601,0.117876557408804,0.68,0.654919063582909
3,0.584352337055304,0.129562492368368,0.74,0.59256562572488
4,0.560190334320969,0.144149395210341,0.82,0.536148724805393
5,0.534049579331258,0.126702183387262,0.72,0.485103155888949
6,0.561410268114467,0.126301354372692,0.74,0.438917525988398
7,0.564149851316112,0.113368863262418,0.65,0.39712913074488
8,0.550663144171346,0.130956674018448,0.73,0.35931931888806
9,0.52093015879583,0.123606053899611,0.7,0.325109298036164
10,0.568939130345096,0.103392226957024,0.6,0.294156339816771
11,0.560178048730463,0.135349338696692,0.75,0.266150346289927
12,0.532361989070699,0.102689110118308,0.57,0.24081074327472
13,0.540607028348461,0.102256468255843,0.57,0.217883669455582
14,0.530627168611365,0.113695593046738,0.64,0.19713943310773
15,0.533351381697713,0.120732848165914,0.67,0.178370210962322
16,0.544107336331318,0.111574089299589,0.63,0.161387966157725
17,0.543475984314933,0.131654098025456,0.74,0.146022564418163
18,0.539851088672874,0.122730738150201,0.68,0.132120069586959
19,0.530865651256141,0.130424069288462,0.73,0.119541201438397
20,0.542566924522199,0.114794078822027,0.65,0.108159940318
21,0.538371823752615,0.125002378684799,0.7,0.0978622646320138
22,0.529593278719563,0.10989936881148,0.62,0.0885450085378098
23,0.525997677237159,0.136224821356252,0.75,0.0801148283911267
24,0.520799921377245,0.109504688065437,0.6,0.0724872675956538
25,0.529853846034754,0.10368045243569,0.58,0.0655859104862776
26,0.535398865600655,0.12232183904091,0.68,0.0593416167692866
27,0.525902890975612,0.12314001729934,0.69,0.0536918288498817
28,0.529237448989882,0.134263664932532,0.75,0.05
29,0.527988570541095,0.11189342544808,0.62,0.05
30,0.533042285714888,0.0941730099968014,0.53,0.05
31,0.521928103702169,0.127837592778998,0.71,0.05
32,0.538753020290979,0.110281204620418,0.62,0.05
33,0.526950430873758,0.12149816797725,0.68,0.05
34,0.532306971978462,0.107775845520301,0.61,0.05
35,0.522053145865375,0.110186407114126,0.61,0.05
36,0.531093084664004,0.123383976487798,0.69,0.05
37,0.53213084119613,0.120952844758529,0.68,0.05
38,0.529989136737611,0.120485420370634,0.68,0.05
39,0.526043792370418,0.103100812564488,0.58,0.05
40,0.521031345533409,0.109169016858832,0.62,0.05
41,0.527102041600684,0.0978679735355637,0.55,0.05
42,0.533317357083911,0.119363021575231,0.67,0.05
43,0.525986957052476,0.127122602337981,0.71,0.05
44,0.531268090906564,0.125234877457966,0.7,0.05
45,0.523975347904225,0.11539098334833,0.65,0.05
46,0.529245373925568,0.120980964756834,0.68,0.05
47,0.510247941352821,0.0920405124366472,0.53,0.05
48,0.523931163937269,0.110817782940566,0.62,0.05
49,0.530169602543068,0.10831949792211,0.6,0.05
50,0.538913779478662,0.110175902437623,0.62,0.05
51,0.536002079150317,0.122965057378291,0.69,0.05
52,0.527016889351961,0.10971729075751,0.61,0.05
53,0.535031187378301,0.121929563240869,0.68,0.05
54,0.527819746260554,0.109956794100728,0.61,0.05
55,0.526555611001397,0.0965412231852295,0.54,0.05
56,0.534311073807797,0.11056194495319,0.62,0.05
57,0.527841006439141,0.0944189412826519,0.53,0.05
58,0.531027944720919,0.110670994640482,0.62,0.05
59,0.533150666355801,0.113754347202315,0.64,0.05
60,0.538254845543336,0.127442164564335,0.72,0.05
61,0.522374836921027,0.107798557605776,0.6,0.05
62,0.52635611561289,0.107741104657768,0.6,0.05
63,0.534556197723819,0.128812398210739,0.72,0.05
64,0.524502848565008,0.118589839031338,0.66,0.05
65,0.533826328042253,0.117727467609768,0.66,0.05
66,0.5305392140714,0.110421949349878,0.62,0.05
67,0.530103751352162,0.124823592485486,0.7,0.05
68,0.528217416908827,0.116226737322873,0.65,0.05
69,0.54012102809185,0.105989523197826,0.6,0.05
70,0.530717040686574,0.102956639589182,0.58,0.05
71,0.525337399704711,0.116353783562671,0.64,0.05
72,0.528227078814733,0.109230659442279,0.61,0.05
73,0.526531852942398,0.124280599289735,0.69,0.05
74,0.519065055091752,0.105977722938095,0.61,0.05
75,0.517452851463465,0.119779522777921,0.68,0.05
76,0.526892301259022,0.122135388251004,0.68,0.05
77,0.516314816557266,0.113850561921629,0.65,0.05
78,0.520941864131587,0.119836008660383,0.67,0.05
79,0.515588105569817,0.10401402833359,0.58,0.05
80,0.523351208140415,0.100007921088364,0.56,0.05
81,0.537702709621325,0.12465369119035,0.7,0.05
82,0.530653150939494,0.106428601850314,0.6,0.05
83,0.536821891744972,0.117365499235858,0.66,0.05
84,0.527937681473719,0.106851140314701,0.6,0.05
85,0.531248333766193,0.110717826050859,0.62,0.05
86,0.539796784932905,0.118190481656428,0.67,0.05
87,0.532671245723035,0.111339010010435,0.63,0.05
88,0.529955051550603,0.122971239300784,0.69,0.05
89,0.52529094513205,0.110763332572138,0.62,0.05
90,0.517602817853788,0.102784802853925,0.58,0.05
91,0.517087828549504,0.0936950750120066,0.54,0.05
92,0.522366596475176,0.113298134334437,0.63,0.05
93,0.523129333032648,0.101927243420153,0.58,0.05
94,0.526192302034571,0.116487629161976,0.65,0.05
95,0.527001216052059,0.100453962520374,0.56,0.05
96,0.529681432423492,0.112106735680682,0.63,0.05
97,0.533990586675159,0.121091915437023,0.68,0.05
98,0.512964098086645,0.10697663487226,0.63,0.05
99,0.493757482521902,0.0781428349019305,0.46,0.05
100,0.482403003367713,0.0958754084747465,0.58,0.05
101,0.526635626111674,0.109216921551724,0.61,0.05
