Iteration,Agent_1,Agent_2,Agent_3
1,0.01,0.02,0
2,0.01,0.02,0.01
3,0,0.02,0.01
4,0.03,0.02,0.01
5,0.01,0,0.01
6,0.04,0.01,0.02
7,0.04,0.02,0.03
8,0,0,0.01
9,0.01,0.01,0
10,0,0.01,0.02
11,0.02,0,0.02
12,0.01,0.03,0.01
13,0.01,0.01,0.01
14,0.03,0,0
15,0,0.03,0.06
16,0.01,0.01,0.05
17,0.04,0,0.03
18,0,0.01,0.02
19,0.01,0,0
20,0.01,0.01,0.01
21,0.01,0.04,0.01
22,0.01,0.02,0.03
23,0.02,0.01,0.02
24,0.01,0,0.01
25,0.01,0.01,0.01
26,0.01,0,0
27,0.02,0.02,0
28,0.02,0,0.05
29,0.01,0,0.01
30,0,0.01,0
31,0.02,0.01,0.02
32,0.02,0.01,0.01
33,0,0.02,0
34,0.01,0,0.01
35,0.01,0.01,0
36,0,0,0.01
37,0,0,0.01
38,0.01,0,0.02
39,0.03,0.02,0.01
40,0,0.01,0.02
41,0.01,0.02,0.01
42,0.04,0.05,0
43,0.01,0,0.01
44,0.01,0,0.04
45,0.01,0.02,0.01
46,0.03,0,0.02
47,0.01,0.01,0.01
48,0.01,0.01,0
49,0.03,0,0
50,0.02,0.01,0
51,0.02,0.01,0.01
52,0.02,0,0.04
53,0.01,0.01,0
54,0,0.02,0.01
55,0,0,0.03
56,0.03,0.02,0.02
57,0.04,0,0.02
58,0.03,0.03,0.02
59,0,0.03,0.02
60,0.03,0.03,0.02
61,0,0.02,0.01
62,0.02,0.01,0
63,0.02,0,0.02
64,0.02,0.02,0
65,0.02,0.03,0.04
66,0.01,0.03,0
67,0.05,0.02,0.02
68,0.01,0.05,0.03
69,0,0.02,0.01
70,0,0.01,0
71,0.01,0.03,0.01
72,0.02,0.02,0.03
73,0.02,0.02,0.02
74,0.02,0.01,0.02
75,0,0,0.02
76,0.01,0.03,0.02
77,0,0.01,0
78,0.05,0,0.03
79,0,0.02,0.03
80,0.01,0.02,0.02
81,0.01,0,0.01
82,0.03,0.01,0.02
83,0.02,0.01,0
84,0,0.01,0
85,0.01,0.01,0.04
86,0.01,0.02,0.03
87,0.02,0.01,0.03
88,0.02,0.01,0.01
89,0.01,0.02,0.01
90,0,0.01,0.03
91,0.01,0.03,0
92,0.01,0.01,0.01
93,0.01,0,0.01
94,0,0.02,0.03
