Agent,Type,Algorithm,TotalReward
Attacker,Attacker,adaptive,2233673.09999905
Defender_QLearning,Defender,unknown,NaN
Defender_SARSA,Defender,unknown,NaN
Defender_DoubleQLearning,Defender,unknown,NaN
