Episode,RADI,Damage,SuccessRate,Epsilon
1,0.957772601589485,0.0854649315897328,0.91,0.723833717690967
2,0.98664780364582,0.0838787892969171,0.86,0.654919063582909
3,0.983456623750719,0.0839178211762958,0.87,0.59256562572488
4,0.977935059608295,0.0851871886320005,0.87,0.536148724805393
5,1.00838591357875,0.0894248827150143,0.93,0.485103155888949
6,1.0121194416256,0.0896125337367882,0.9,0.438917525988398
7,1.04329896731649,0.0872946738002148,0.92,0.39712913074488
8,0.991181133816492,0.082549033167772,0.85,0.35931931888806
9,1.00018603573831,0.0858435940609288,0.87,0.325109298036164
10,1.00641845268102,0.0846430128770762,0.87,0.294156339816771
11,1.00794012600875,0.0838187826536425,0.86,0.266150346289927
12,1.00829480322482,0.0933302916041353,0.94,0.24081074327472
13,0.961913846631951,0.0842941926471896,0.85,0.217883669455582
14,0.986336035989685,0.0842445802493519,0.87,0.19713943310773
15,1.03161346618636,0.0872795979304925,0.9,0.178370210962322
16,1.02554509782802,0.0819205357079068,0.82,0.161387966157725
17,1.04045348484358,0.0801798684386218,0.83,0.146022564418163
18,1.04763801879068,0.0843201957912832,0.86,0.132120069586959
19,1.01369604435282,0.0885911230305779,0.89,0.119541201438397
20,1.07709992742551,0.0849084668967591,0.88,0.108159940318
21,1.01570200226203,0.0830543527454288,0.84,0.0978622646320138
22,1.01829648083379,0.0815227130602241,0.82,0.0885450085378098
23,1.02798045537431,0.0809239328234739,0.82,0.0801148283911267
24,1.05473534193379,0.0875199085674574,0.88,0.0724872675956538
25,1.03009281324592,0.0789545561498858,0.81,0.0655859104862776
26,1.06659065138032,0.0827050307611295,0.85,0.0593416167692866
27,1.06519792774228,0.0835615083541944,0.86,0.0536918288498817
28,1.06126292535919,0.0793396700517669,0.81,0.05
29,1.02660246998827,0.0885591615171123,0.89,0.05
30,1.00692187020964,0.0881819739760253,0.9,0.05
31,1.04122240683322,0.0892073624098255,0.9,0.05
32,1.04226679831401,0.0803214609951449,0.82,0.05
33,1.02664536219575,0.084088683730989,0.85,0.05
34,1.03319743774001,0.0937690363947754,0.93,0.05
35,0.993611019429656,0.0900749860080284,0.91,0.05
36,0.989294801564151,0.084043990389745,0.85,0.05
37,1.03372574395457,0.0802561702821182,0.81,0.05
38,1.09091551457653,0.0889223895954883,0.87,0.05
39,1.05281623563887,0.0794712185068997,0.83,0.05
40,1.07026660756148,0.0930128160026678,0.91,0.05
41,1.08115622056603,0.0885092271870473,0.88,0.05
42,1.06883519011908,0.0865655737209162,0.86,0.05
43,1.02722408110051,0.0907336354295945,0.9,0.05
44,1.06360520643831,0.090386153662965,0.9,0.05
45,1.01100710867286,0.0856612090742771,0.86,0.05
46,0.986559475793791,0.0771578021786338,0.78,0.05
47,1.04276010196234,0.0893119079705051,0.89,0.05
48,1.0456767199299,0.0829279695933301,0.83,0.05
49,1.0133424074229,0.0840837573479643,0.85,0.05
50,1.0853079490642,0.0905203993647729,0.93,0.05
51,1.03287964717792,0.0892690045080193,0.89,0.05
52,1.02870649453311,0.0897595162380969,0.89,0.05
53,1.02420002546581,0.0889209388279791,0.89,0.05
54,1.0305839599287,0.0923035592660629,0.91,0.05
55,1.06622298434834,0.084827387606136,0.84,0.05
56,1.06571740967945,0.0862487870183781,0.86,0.05
57,1.02923149691709,0.0844478021931946,0.84,0.05
58,1.00896708813132,0.0876166604281143,0.88,0.05
59,1.04734867039313,0.0905359790328817,0.91,0.05
60,0.996736129276756,0.0889255167370614,0.9,0.05
61,1.06488300952469,0.0881077437775617,0.9,0.05
62,1.0666214960618,0.0856176270539051,0.87,0.05
63,1.04269288068968,0.0778809936871817,0.77,0.05
64,1.00661919666755,0.0891367131717356,0.89,0.05
65,1.01847849129082,0.0864307261956502,0.86,0.05
66,1.00223065201678,0.0853648530255441,0.87,0.05
67,1.01691050022435,0.0859187834090307,0.85,0.05
68,1.01326849368301,0.0763390208301428,0.77,0.05
69,1.03243989189626,0.0874283442861,0.88,0.05
70,1.02982331245568,0.0819682686392798,0.82,0.05
71,1.06897529568554,0.0842744292770588,0.85,0.05
72,1.04957126211985,0.0878687457849589,0.89,0.05
73,1.04513261969582,0.0896934454694679,0.89,0.05
74,1.04085248673236,0.0837047004075028,0.82,0.05
75,1.01131491361142,0.0777934110244255,0.77,0.05
76,1.01522515561209,0.0852228973419826,0.84,0.05
77,1.02280203343654,0.0880460894530956,0.88,0.05
78,1.02878160139702,0.085272664834099,0.85,0.05
79,1.02830412619436,0.092074287411063,0.91,0.05
80,1.05895201744467,0.0924723676512358,0.91,0.05
81,1.0785494960318,0.084512852707081,0.83,0.05
82,1.0673508082998,0.094897310862736,0.93,0.05
83,1.08586611491427,0.0894801955414666,0.88,0.05
84,1.04587998643313,0.0897794934427679,0.88,0.05
85,1.08247759197028,0.0971990243569054,0.96,0.05
86,1.02174765385799,0.0926788171631223,0.92,0.05
87,1.04897881655422,0.0906344545457976,0.89,0.05
88,1.04113953530987,0.0879470095665825,0.86,0.05
89,1.0606137750242,0.0897904526572587,0.88,0.05
90,1.03978461062311,0.0868913647969474,0.85,0.05
91,1.03245219304096,0.0863940646470333,0.86,0.05
92,1.02528506262783,0.0902056156790337,0.89,0.05
93,1.0336982187417,0.0923520308433741,0.91,0.05
94,1.07847720689308,0.0886867313485102,0.87,0.05
95,1.03019426431057,0.0907995699412211,0.89,0.05
96,1.0296260208737,0.0898454315169249,0.89,0.05
97,0.995279755262971,0.0884471736114178,0.88,0.05
98,1.07584231145186,0.0922335993659829,0.9,0.05
