Episode,RADI,Damage,SuccessRate,Epsilon
1,0.588593935835623,0.131569441408993,0.83,0.723833717690967
2,0.604841657456292,0.128876633116064,0.85,0.654919063582909
3,0.597398028852769,0.131844589336972,0.84,0.59256562572488
4,0.603277792185258,0.117074803372802,0.74,0.536148724805393
5,0.615326207552113,0.125289807619711,0.84,0.485103155888949
6,0.613376940955913,0.126659095326954,0.82,0.438917525988398
7,0.605390036355078,0.135465075153928,0.86,0.39712913074488
8,0.567293335225629,0.122690406056838,0.75,0.35931931888806
9,0.590270826901595,0.134535278586318,0.84,0.325109298036164
10,0.61486934904796,0.131329309838807,0.83,0.294156339816771
11,0.539592182821173,0.113448885946808,0.73,0.266150346289927
12,0.620277702380308,0.110798958564176,0.73,0.24081074327472
13,0.615389814086583,0.120720135083112,0.77,0.217883669455582
14,0.625497084600019,0.135311122507904,0.9,0.19713943310773
15,0.627456239624578,0.129466202587197,0.82,0.178370210962322
16,0.620126458799122,0.128373133101745,0.82,0.161387966157725
17,0.603512317598259,0.124788360977287,0.78,0.146022564418163
18,0.600223667162537,0.130435533283102,0.81,0.132120069586959
19,0.600981904505255,0.1177654506533,0.74,0.119541201438397
20,0.608874181073579,0.133217766604242,0.82,0.108159940318
21,0.613616147480759,0.133649844732839,0.83,0.0978622646320138
22,0.610661506444199,0.140617050482219,0.87,0.0885450085378098
23,0.614452455854727,0.113058969233515,0.71,0.0801148283911267
24,0.614090633157499,0.117552603569677,0.73,0.0724872675956538
25,0.615269759652786,0.133006845769055,0.83,0.0655859104862776
26,0.616734643153731,0.134855855776558,0.85,0.0593416167692866
27,0.614034441028788,0.140945468028944,0.86,0.0536918288498817
28,0.609574904574794,0.130559007561837,0.81,0.05
29,0.609767387889457,0.131236009625525,0.82,0.05
30,0.612339990951521,0.136295007007917,0.85,0.05
31,0.616178359113526,0.117123015054682,0.74,0.05
32,0.612145782981215,0.134318923024716,0.83,0.05
33,0.614082916960843,0.135544448293367,0.84,0.05
34,0.611639153020569,0.126114989973387,0.78,0.05
35,0.618380427471653,0.138771317285324,0.86,0.05
36,0.612934142261202,0.131014902638023,0.82,0.05
37,0.614127354147373,0.129077406693467,0.8,0.05
38,0.61126724790868,0.126611676286002,0.78,0.05
39,0.614249121010295,0.128297751429998,0.79,0.05
40,0.616957122230182,0.135097727446448,0.84,0.05
41,0.612790499457849,0.138456510005005,0.86,0.05
42,0.616280054630877,0.138298790947857,0.86,0.05
43,0.614325535557548,0.133793148573687,0.82,0.05
44,0.613918947672965,0.134086598454847,0.82,0.05
45,0.613840446392132,0.116873333621448,0.74,0.05
46,0.613952084681325,0.132834811307726,0.82,0.05
47,0.612498535862039,0.135285181637101,0.84,0.05
48,0.613614011067245,0.135487710827142,0.84,0.05
49,0.615281136669162,0.127309304442997,0.79,0.05
50,0.615821842818921,0.133521224308897,0.83,0.05
51,0.615977421777143,0.13462800059227,0.84,0.05
52,0.608474908780622,0.128239797922249,0.81,0.05
53,0.620451496099832,0.122244059302295,0.76,0.05
54,0.613032448304874,0.128018558411679,0.8,0.05
55,0.614635074596766,0.131618035177151,0.83,0.05
56,0.612293401257358,0.123240872076064,0.77,0.05
57,0.615073969606745,0.130864577872082,0.8,0.05
58,0.611984289321676,0.133719993253611,0.84,0.05
59,0.616295716662887,0.143564441332902,0.89,0.05
60,0.615533248097534,0.136863138311606,0.84,0.05
61,0.614471430983598,0.124601986725376,0.77,0.05
62,0.616585506406591,0.121410565080909,0.77,0.05
63,0.614727747110559,0.120118585770243,0.75,0.05
64,0.615676339602295,0.134690090274154,0.85,0.05
65,0.6175770946322,0.138179249127789,0.86,0.05
66,0.615565590754385,0.125191806798032,0.78,0.05
67,0.615801987961126,0.129890705944827,0.81,0.05
68,0.619061944776168,0.135364295791714,0.86,0.05
69,0.615736781802409,0.142421638179662,0.88,0.05
70,0.620632490734059,0.132506641453276,0.84,0.05
71,0.616657995510417,0.129918887131239,0.81,0.05
72,0.61687198032444,0.110909067209838,0.69,0.05
73,0.614361306481378,0.125368397317995,0.78,0.05
74,0.616394261848661,0.146591330022128,0.91,0.05
75,0.61548471034205,0.130611173630546,0.82,0.05
76,0.617513202482844,0.129758881392769,0.8,0.05
77,0.615668087293969,0.131835250505323,0.82,0.05
78,0.615107958627399,0.12187818619631,0.77,0.05
79,0.616476238592302,0.138187406023143,0.85,0.05
80,0.615352526472913,0.113522884941714,0.72,0.05
81,0.618087855259236,0.131688928838182,0.83,0.05
82,0.615224515480144,0.136453962883597,0.85,0.05
83,0.617189840853621,0.124280748145181,0.78,0.05
84,0.617837153185686,0.129230004119202,0.81,0.05
85,0.616266031540005,0.135731287556193,0.84,0.05
86,0.615414084504116,0.138742089783621,0.86,0.05
87,0.619903162807505,0.138895680049653,0.86,0.05
88,0.613360185890212,0.131680227833424,0.82,0.05
89,0.618731439894643,0.127389491417559,0.8,0.05
90,0.616808872123738,0.137033733054189,0.85,0.05
91,0.6161165309227,0.132378909620003,0.83,0.05
92,0.615310460763488,0.127772889397944,0.8,0.05
93,0.617080829651289,0.115634221663971,0.74,0.05
94,0.614753264347876,0.126347005917757,0.8,0.05
95,0.619088547837033,0.122450568297053,0.77,0.05
96,0.616225916505054,0.127265025258108,0.78,0.05
97,0.615333824255658,0.135569945398739,0.84,0.05
98,0.615527957119518,0.149790051026865,0.92,0.05
99,0.61703108505987,0.116646544118104,0.73,0.05
100,0.615281053212778,0.133262106375077,0.83,0.05
101,0.615187400853553,0.134683223878671,0.84,0.05
