Episode,RADI,Damage,SuccessRate,Epsilon
1,0.929222435215568,0.0819567178745054,0.82,0.723833717690967
2,0.954764818863751,0.0904408287634158,0.88,0.654919063582909
3,0.929913950307382,0.0947888543915169,0.89,0.59256562572488
4,0.933565282797189,0.097679264813951,0.91,0.536148724805393
5,0.954568430806026,0.0866599054509929,0.85,0.485103155888949
6,0.951771537899515,0.0989569000163639,0.95,0.438917525988398
7,0.959104914273397,0.0962021291401743,0.9,0.39712913074488
8,0.967911673528315,0.0971011709534155,0.93,0.35931931888806
9,0.963090855323456,0.0927766449289082,0.87,0.325109298036164
10,0.957191719237021,0.0988457861850193,0.91,0.294156339816771
11,0.988219818710903,0.0916163408480335,0.86,0.266150346289927
12,0.984177334373855,0.0979452937965799,0.89,0.24081074327472
13,0.971541297605921,0.0905861161230081,0.84,0.217883669455582
14,0.978675759451624,0.0924657385993306,0.84,0.19713943310773
15,0.976914147333205,0.0925066929982116,0.85,0.178370210962322
16,0.977283561449168,0.0996126090846001,0.91,0.161387966157725
17,0.99944879080492,0.0906709079209449,0.83,0.146022564418163
18,0.967951779466958,0.0833030452652714,0.76,0.132120069586959
19,0.970187837793251,0.0939688771732517,0.85,0.119541201438397
20,0.957885038220498,0.100412439794907,0.9,0.108159940318
21,0.988235263014536,0.0979358846350356,0.87,0.0978622646320138
22,0.990427614867973,0.0945575005852916,0.86,0.0885450085378098
23,0.976147969265086,0.0953605590901664,0.87,0.0801148283911267
24,0.967342456512279,0.0946126542533871,0.86,0.0724872675956538
25,1.02154032284337,0.0958062169221975,0.86,0.0655859104862776
26,1.02550521594253,0.091765546013776,0.83,0.0593416167692866
27,0.974394776768369,0.0897528350066416,0.84,0.0536918288498817
28,0.955968499445228,0.0897971545713295,0.84,0.05
29,1.01356047243382,0.0925750312984048,0.83,0.05
30,0.972891959151921,0.091004108696739,0.84,0.05
31,1.0017222019768,0.0910535929809258,0.82,0.05
32,0.970464605373419,0.0895639307511896,0.81,0.05
33,0.995436712230309,0.0954746536012822,0.86,0.05
34,0.956057937126084,0.0940318685786958,0.85,0.05
35,0.953600906230544,0.0902568425320885,0.82,0.05
36,1.01914852416666,0.0969902279688454,0.89,0.05
37,1.02746654287089,0.0900965008597787,0.83,0.05
38,0.978573409879082,0.0873616863564491,0.8,0.05
39,0.975022965673767,0.0884515241324216,0.83,0.05
40,0.978481183535105,0.0961575044260409,0.89,0.05
41,0.949620239754132,0.0993109888637072,0.91,0.05
42,0.981518675210556,0.0892827163806119,0.82,0.05
43,1.03261572044296,0.0847023606350071,0.8,0.05
44,0.989911607862174,0.0922968807615634,0.85,0.05
45,0.998310801929718,0.0946669554374035,0.86,0.05
46,0.968787016341702,0.0871940347113985,0.79,0.05
47,1.01718230680766,0.0902531319121267,0.83,0.05
48,1.00079576809717,0.0919059093136822,0.84,0.05
49,0.98212761680319,0.091599814083715,0.83,0.05
50,0.946946310505654,0.0884807655221005,0.81,0.05
51,0.962659645495057,0.0944143423541854,0.87,0.05
52,0.98632835379297,0.100384984955344,0.93,0.05
53,1.04112549128399,0.0956376771754177,0.87,0.05
54,1.01183911957235,0.094018132343989,0.86,0.05
55,0.997497789993204,0.100577571966897,0.91,0.05
56,0.98286879712731,0.0949192190127541,0.85,0.05
57,0.970743184353435,0.0978047367982699,0.88,0.05
58,0.954807395713898,0.0893481449334555,0.82,0.05
59,0.994639482552837,0.0868533540958713,0.79,0.05
60,1.0049094177755,0.0940654635001588,0.84,0.05
61,1.01540522881961,0.090742188687529,0.82,0.05
62,1.02218114770046,0.0985675071141672,0.89,0.05
63,0.956734853500111,0.0948729954022143,0.85,0.05
64,0.983566236749098,0.0952553870398582,0.88,0.05
65,0.962485616060272,0.0935161560789105,0.87,0.05
66,0.948949439076643,0.0908479869918119,0.86,0.05
67,0.968113417075779,0.0921338183324594,0.85,0.05
68,0.950041261323951,0.0999982754610023,0.93,0.05
69,0.954508626841443,0.0893040195080695,0.81,0.05
70,0.999934883098766,0.09272116354227,0.84,0.05
71,0.986465167474113,0.0936851343711981,0.85,0.05
72,0.973726040152055,0.093289926513362,0.84,0.05
73,1.02903575537948,0.0998327590064277,0.91,0.05
74,0.992078107347335,0.0970407246987386,0.87,0.05
75,1.04390727539684,0.096083553376166,0.88,0.05
76,0.999979289191773,0.0922878721252582,0.85,0.05
77,1.0267791444621,0.0965474833180016,0.88,0.05
78,0.982878712426477,0.0952263321888733,0.88,0.05
79,1.00525888122399,0.0927595289940029,0.84,0.05
80,1.00518606594648,0.0994630460239617,0.9,0.05
81,1.03318531685792,0.0953485831526567,0.87,0.05
82,1.00037401662259,0.082454203812691,0.73,0.05
83,1.00008564730834,0.094358233497738,0.87,0.05
84,0.975194482921446,0.095202145651402,0.86,0.05
85,1.01474463770577,0.088761549506,0.82,0.05
86,0.982667120873946,0.0985031941334778,0.88,0.05
87,1.00288995550189,0.0916206956964965,0.82,0.05
88,1.00834451814104,0.0913479800005892,0.82,0.05
89,0.980459377282158,0.0965291359451299,0.86,0.05
90,0.962860865512424,0.0869285251875259,0.79,0.05
91,0.977857502699771,0.0936713351944196,0.85,0.05
92,0.998943358703909,0.0836502934815554,0.77,0.05
93,0.979891208944411,0.0951435413646417,0.86,0.05
94,1.00125747569889,0.0958161869139722,0.87,0.05
95,0.990891841288956,0.0922693773963398,0.84,0.05
96,0.998696616986726,0.101114227483975,0.93,0.05
97,0.975803770957935,0.102729095725989,0.91,0.05
98,0.995033437590162,0.0968471202897952,0.87,0.05
99,0.977276520876466,0.0986301484828075,0.89,0.05
100,0.969490237738889,0.0988851321084742,0.89,0.05
101,0.975687815387101,0.0954825699972486,0.87,0.05
