Agent,Type,Algorithm,TotalReward
Attacker,Attacker,adaptive,2234090.49999906
Defender_QLearning,Defender,unknown,NaN
Defender_SARSA,Defender,unknown,NaN
Defender_DoubleQLearning,Defender,unknown,NaN
