Agent,Type,Algorithm,TotalReward
Attacker,Attacker,adaptive,2235133.59999906
Defender_QLearning,Defender,unknown,NaN
Defender_SARSA,Defender,unknown,NaN
Defender_DoubleQLearning,Defender,unknown,NaN
