Agent,Type,Algorithm,TotalReward
Attacker,Attacker,adaptive,2247893.89999894
Defender_QLearning,Defender,unknown,NaN
Defender_SARSA,Defender,unknown,NaN
Defender_DoubleQLearning,Defender,unknown,NaN
