Iteration,Agent_1,Agent_2,Agent_3
1,0.22,0.28,0.26
2,0.21,0.27,0.21
3,0.22,0.2,0.13
4,0.18,0.16,0.14
5,0.2,0.15,0.23
6,0.27,0.25,0.23
7,0.22,0.25,0.26
8,0.26,0.21,0.24
9,0.23,0.23,0.22
10,0.22,0.13,0.22
11,0.25,0.27,0.18
12,0.18,0.19,0.17
13,0.2,0.24,0.27
14,0.23,0.29,0.16
15,0.23,0.23,0.25
16,0.22,0.34,0.22
17,0.23,0.23,0.17
18,0.2,0.18,0.21
19,0.19,0.26,0.19
20,0.26,0.29,0.22
21,0.26,0.18,0.17
22,0.3,0.2,0.25
23,0.23,0.27,0.29
24,0.23,0.2,0.22
25,0.26,0.25,0.29
26,0.2,0.22,0.24
27,0.19,0.28,0.28
28,0.24,0.22,0.17
29,0.25,0.23,0.1
30,0.18,0.2,0.24
31,0.26,0.21,0.22
32,0.28,0.31,0.35
33,0.22,0.25,0.21
34,0.23,0.26,0.18
35,0.28,0.22,0.23
36,0.27,0.29,0.37
37,0.19,0.24,0.24
38,0.25,0.18,0.19
39,0.16,0.19,0.27
40,0.23,0.28,0.29
41,0.26,0.22,0.18
42,0.22,0.24,0.24
43,0.27,0.22,0.15
44,0.37,0.21,0.2
45,0.3,0.22,0.28
46,0.2,0.22,0.18
47,0.22,0.27,0.3
48,0.2,0.24,0.27
49,0.25,0.33,0.22
50,0.22,0.25,0.26
51,0.27,0.23,0.23
52,0.24,0.23,0.22
53,0.27,0.2,0.19
54,0.23,0.21,0.24
55,0.26,0.17,0.25
56,0.3,0.24,0.22
57,0.2,0.21,0.23
58,0.24,0.21,0.21
59,0.19,0.26,0.21
60,0.27,0.22,0.2
61,0.24,0.26,0.23
62,0.22,0.23,0.31
63,0.23,0.15,0.22
64,0.28,0.2,0.21
65,0.23,0.2,0.19
66,0.15,0.28,0.25
67,0.34,0.35,0.17
68,0.25,0.28,0.25
69,0.23,0.22,0.17
70,0.17,0.21,0.24
71,0.27,0.18,0.26
72,0.25,0.25,0.19
73,0.18,0.17,0.25
74,0.19,0.21,0.3
75,0.23,0.21,0.26
76,0.18,0.28,0.28
77,0.22,0.27,0.21
78,0.25,0.21,0.27
79,0.28,0.24,0.29
80,0.22,0.27,0.17
81,0.24,0.2,0.25
82,0.19,0.3,0.39
83,0.25,0.16,0.22
84,0.25,0.23,0.29
85,0.23,0.23,0.17
86,0.16,0.25,0.28
87,0.21,0.23,0.23
88,0.2,0.27,0.25
89,0.18,0.28,0.3
90,0.22,0.23,0.23
91,0.22,0.14,0.22
92,0.25,0.24,0.23
93,0.17,0.22,0.22
94,0.22,0.2,0.17
95,0.25,0.24,0.23
96,0.19,0.29,0.33
97,0.25,0.26,0.22
98,0.21,0.25,0.3
99,0.27,0.26,0.2
100,0.15,0.27,0.24
101,0.18,0.19,0.33
102,0.32,0.25,0.22
103,0.21,0.19,0.25
104,0.24,0.22,0.22
105,0.17,0.23,0.2
106,0.21,0.19,0.32
107,0.21,0.23,0.23
108,0.26,0.21,0.26
109,0.21,0.15,0.26
110,0.26,0.23,0.24
111,0.22,0.27,0.17
112,0.23,0.3,0.18
113,0.21,0.25,0.18
114,0.12,0.22,0.25
115,0.21,0.26,0.23
116,0.24,0.22,0.22
117,0.25,0.22,0.29
118,0.25,0.18,0.23
119,0.26,0.19,0.2
120,0.24,0.28,0.21
121,0.22,0.23,0.21
122,0.19,0.14,0.23
123,0.21,0.2,0.24
124,0.32,0.22,0.21
125,0.24,0.18,0.25
126,0.24,0.26,0.21
127,0.35,0.22,0.28
128,0.28,0.25,0.17
129,0.32,0.16,0.25
130,0.26,0.23,0.23
131,0.24,0.21,0.24
132,0.21,0.27,0.29
133,0.19,0.23,0.22
134,0.22,0.19,0.26
135,0.29,0.22,0.21
136,0.2,0.22,0.21
137,0.25,0.18,0.25
138,0.21,0.16,0.27
139,0.19,0.2,0.22
140,0.24,0.28,0.28
141,0.17,0.2,0.17
142,0.24,0.25,0.22
143,0.22,0.21,0.16
144,0.25,0.3,0.22
145,0.25,0.21,0.29
146,0.3,0.26,0.27
147,0.25,0.27,0.25
148,0.3,0.27,0.28
149,0.25,0.21,0.24
150,0.26,0.15,0.27
151,0.2,0.25,0.2
152,0.22,0.19,0.18
153,0.2,0.16,0.2
154,0.19,0.23,0.25
