Agent,Type,Algorithm,TotalReward
Attacker,Attacker,adaptive,2234635.69999905
Defender_QLearning,Defender,unknown,NaN
Defender_SARSA,Defender,unknown,NaN
Defender_DoubleQLearning,Defender,unknown,NaN
